uin,chat_cnt
c6e7c111329c76150e3fb5188daa9cb2,4467
47e939f84628798d81e6a962bc7f152c,2393
7e3a60b41d459e8ed97130e4a79eb9f8,81
068c8131c23e15aade08ca10f725a195,61
d0f33f78641580b14bdded309428303d,217
87e9881e77ccf55ba2873435184da435,50
b7de3c55d57e1d276a8c7f39f2a8d60a,41
ad2b8b79f58c48dc51fb1d303e15ff99,405
64d9f05a6c0eb4c786b34e18c0bdbe24,58
05ee1ab4ee90823366c3933082400f2b,213
b76d00249673711f25d1ea56f56a5c07,49
a6a633b6c4672c47ed3efa9ca20fa63f,30
1f05889626e7738a7cff50d1d8cb7c24,258
04b46c39a1fcb37c6ae1eecf129038c0,8459
76a921cfbac23e575f44f31cca70c385,736
31850a5985fff7b7a32cbef89bf62cec,107
43b4bff2bc06a747552ee571461577ee,271
d58d113ad746150214bddc5ab694edf5,232
cc0b8077f40126edc1389b404a97386c,455
6a91f6f41bf39fca37d847e5cf5b937d,7327
a6485b941b83db0c57d949b829f72eb0,7
9ff40d9a6a83585992414b2bce0df7f8,36
6abf9ef28045cbf0721bc7972ed241f4,88
9010d2be45d81413f3f25eac511a69e7,306
13d82dcd02b015b398a57453bfa00297,259
95dac25b710b199f70a2d7dd1317d9a7,193
f586e3de07c68d3809b28edb38776816,93
d5c0a90dfb8bafa52a17fbacf627fecb,201
060b1ee139d62bf7f8aa24ef765ac318,821
6f13c027e51dee12ebfe67b9f0226ba8,11
c912a8e31c482ad58baed61c38ddc5c9,146
eb461874b6c359547a675b01cb9d6835,61
1fc1beaec4a1e29db2dcab8ef325ac1d,1
db70c3ef255978ad8f3f8506e75b52c5,472
9b6ac119f176fff7c76bfb9a9929494b,157
88bd610cf25debc7ce82a6b6c7f107f8,89
0cb75b7db4ca998e7866ea40b663b881,526
a9604b68a1ef23951fb669757bdb0b41,219
cde28743cb018a63365ea71e0cae6dd7,175
5cc6e3feebddd798061eb0a411610b33,184
cf14510e613c4823cc0b81b24114be4b,323
583285c2d2f9582ab63862702520499c,156
fdf43875e4bcb7fe319eac50d5327c96,39
91b4459299299fb38ed0f10759a68c09,44
124df5cd88e7e482b3919477eacad514,623
7cc71107ffc477faaff255a62aa9215a,154
8d42817309d57eb5af9b427334ea4036,9486
27be26d5d202fa15bb591f52afaecd5e,310
1ae2055428a46c2f43053ae7e4904929,217
0a58159eb66a58d6e4b89b608509af84,32
