dteventtime,platid,areaid,worldid,uin,rolechannel,network,create_hour
2020-03-05 00:00:15,0,1,31999,987406aa9ced754835d3fec63f2e8988,1001,WIFI,0
2020-03-05 00:00:16,0,1,25343,ad0ea67a8e73ddabb1763148d39e3401,1001,WIFI,0
2020-03-05 00:00:19,0,1,10985,caaf39727f62da527ab5a2383620d752,1001,4G,0
2020-03-05 00:00:29,1,1,41307,5ba99e4c8bce9e19683d5901519ddfcd,2002,WIFI,0
2020-03-05 00:00:34,0,1,17979,677634cf790676acb522e289f26a3c49,1001,4G,0
2020-03-05 00:00:45,0,1,10985,1d0a14e8ce373b4a1f125ca51784bda1,1001,WIFI,0
2020-03-05 00:00:46,0,1,31999,c4b98e6daf5894e3debfb2b5c5311113,1001,WIFI,0
2020-03-05 00:01:03,0,1,10985,636749713cf72bc51b638809adc222d1,1001,WIFI,0
2020-03-05 00:01:05,1,2,13886,eea4d5286f1a2c12d75660623541520f,10000145,WIFI,0
2020-03-05 00:01:11,0,1,10985,a002736659bbb2924b727699f0a7dcdd,1001,WIFI,0
2020-03-05 00:01:25,0,2,20868,b73daa1e9817a31b59aeb79bda018180,1001,WIFI,0
2020-03-05 00:01:35,0,1,10985,cd95f6f138565aa41cbd87aec314ccd3,1001,WIFI,0
2020-03-05 00:01:48,1,1,53346,30307053f91de68e06723468afde8da3,10000145,4G,0
2020-03-05 00:01:51,0,1,25343,eaa04e0f4f5183c98b0da243bcb31da4,1001,WIFI,0
2020-03-05 00:02:18,0,2,61221,6b0cd931993556bf2a5dfb8cb8c3c8f0,1001,WIFI,0
2020-03-05 00:02:23,1,2,32463,eea4d5286f1a2c12d75660623541520f,10000145,WIFI,0
2020-03-05 00:02:39,1,1,25539,64457e9cc379a9439a74a7186ac77311,10035674,4G,0
2020-03-05 00:03:04,1,2,45409,96f7cec2a4a9fdbb6ec05cad2d6f210d,10000144,WIFI,0
2020-03-05 00:03:26,0,1,17593,0f97c5d5f7aa7e9b261501c7ea6484fd,1001,WIFI,0
2020-03-05 00:03:39,1,2,19073,eea4d5286f1a2c12d75660623541520f,10000145,WIFI,0
2020-03-05 00:03:49,1,1,55463,c9c255a3ef3fcd4b68a5023ddd4875cc,10000145,WIFI,0
2020-03-05 00:03:53,1,1,53346,5e90ee52522b5a6698ac86a82a516063,10000145,WIFI,0
2020-03-05 00:03:58,0,1,10985,6c0912551f8c92d4fcdf184b466caff1,1001,WIFI,0
2020-03-05 00:04:23,1,1,22900,30307053f91de68e06723468afde8da3,10000145,4G,0
2020-03-05 00:04:46,1,1,55463,c9c255a3ef3fcd4b68a5023ddd4875cc,10000145,WIFI,0
2020-03-05 00:05:14,0,3,61221,7d9e2ff3af4cd79cbb9a9b8de2a15379,1001,WIFI,0
2020-03-05 00:05:21,1,1,25539,64457e9cc379a9439a74a7186ac77311,10035674,4G,0
2020-03-05 00:05:35,0,1,17593,0f97c5d5f7aa7e9b261501c7ea6484fd,1001,WIFI,0
2020-03-05 00:05:35,1,1,55463,c9c255a3ef3fcd4b68a5023ddd4875cc,10000145,WIFI,0
2020-03-05 00:05:36,0,1,35544,bc0c7c5e79c5227b54d29efd70bb82c8,1001,WIFI,0
2020-03-05 00:05:54,0,1,25343,f7f6dd5340d875dc090236e4188f51a5,1001,WIFI,0
2020-03-05 00:06:33,1,1,37787,1c073d8c6ad15ead1c44944caab17fb7,10000145,WIFI,0
2020-03-05 00:06:33,0,1,10985,8e116dc815500cdbff24def86088ced3,1001,4G,0
2020-03-05 00:06:34,0,1,26648,9b48aa8904aff21a92fe7516085e749a,1001,WIFI,0
2020-03-05 00:06:52,1,1,53346,e7d596fe2f1c060b2020a2d275047c34,2002,WIFI,0
2020-03-05 00:07:02,0,1,18421,0fb6364095b533ae3562310c3fdaaf4b,1001,WIFI,0
2020-03-05 00:07:15,0,1,10985,8c1215efec35513d0778b84166c9454e,1001,4G,0
2020-03-05 00:07:16,0,1,10985,155b73ce313a2e087e9d8455337ec8e7,1001,WIFI,0
2020-03-05 00:07:39,0,1,10985,eb5ce4e6b2ba019795ee0fa9610de116,1001,WIFI,0
2020-03-05 00:07:43,0,1,10985,1c16bc7d04d26633e812038d3053482d,1001,WIFI,0
2020-03-05 00:08:11,0,1,25343,21c08eb546fa701df806414b0d6a8646,1001,4G,0
2020-03-05 00:08:33,1,1,55463,9315b8f2ad780a0d9a0fb79ef9c165eb,2017,WIFI,0
2020-03-05 00:08:36,1,1,55463,05bc383a4b356dc77fc2fadb3a4acddc,10000145,4G,0
2020-03-05 00:08:39,0,1,10985,ef4c1f604469a597def752c5e8f6dc68,1001,WIFI,0
2020-03-05 00:08:42,0,1,10985,92bdf0b3528f0a8d8c51937f058fe87c,1001,WIFI,0
